Rank,"Name
Country/Region",No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
1,University of OxfordUnited Kingdom,"21,750",10.9,42%,49 : 51
2,Stanford UniversityUnited States,"14,517",6.4,23%,47 : 53
3,Massachusetts Institute of TechnologyUnited States,"11,085",8,33%,41 : 59
4,Harvard UniversityUnited States,"20,050",9,25%,51 : 49
5,University of CambridgeUnited Kingdom,"20,565",11.5,38%,48 : 52
6,Princeton UniversityUnited States,"7,753",7.3,23%,47 : 53
7,California Institute of TechnologyUnited States,"2,240",6.1,33%,37 : 63
8,Imperial College LondonUnited Kingdom,"20,275",11.8,61%,42 : 58
9,"University of California, BerkeleyUnited States","39,991",17.9,22%,52 : 48
10,Yale UniversityUnited States,"11,924",5.2,21%,51 : 49
11,ETH ZurichSwitzerland,"22,619",15.4,43%,33 : 67
12,Tsinghua UniversityChina,"38,518",11.2,10%,n/a
13,The University of ChicagoUnited States,"15,792",6.2,36%,47 : 53
14,Peking UniversityChina,"33,064",10.9,14%,n/a
15,Johns Hopkins UniversityUnited States,"15,772",4.1,28%,56 : 44
16,University of PennsylvaniaUnited States,"21,312",6.2,22%,54 : 46
17,Columbia UniversityUnited States,"25,914",5.2,35%,n/a
18,"University of California, Los AngelesUnited States","42,634",9.6,15%,56 : 44
19,"National University of SingaporeSingapore
Explore","33,334",20,24%,49 : 51
20,Cornell UniversityUnited States,"23,620",10,24%,51 : 49
21,University of TorontoCanada,"79,282",25.8,27%,56 : 44
22,UCLUnited Kingdom,"41,110",11.3,61%,59 : 41
23,University of Michigan-Ann ArborUnited States,"45,783",8.1,16%,51 : 49
24,Carnegie Mellon UniversityUnited States,"13,562",11.9,44%,44 : 56
25,University of WashingtonUnited States,"49,486",10.1,16%,56 : 44
26,Duke UniversityUnited States,"15,527",3.9,18%,52 : 48
27,New York UniversityUnited States,"48,461",11.8,42%,58 : 42
28,Northwestern UniversityUnited States,"18,894",13.1,18%,52 : 48
29,The University of TokyoJapan,"26,345",10.3,15%,n/a
30,University of EdinburghUnited Kingdom,"33,940",11.5,46%,61 : 39
30,"Technical University of MunichGermany
Explore","35,506",44.4,39%,37 : 63
32,"Nanyang Technological University, SingaporeSingapore
Explore","25,895",16.7,27%,49 : 51
33,École Polytechnique Fédérale de LausanneSwitzerland,"12,543",13.5,64%,30 : 70
34,"University of California, San DiegoUnited States","40,596",12,19%,45 : 55
35,"University of Hong KongHong Kong
Explore","18,103",18.3,43%,55 : 45
36,Georgia Institute of TechnologyUnited States,"32,079",28,29%,34 : 66
