Rank,"Name
Country/Region",No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio
1,University of OxfordUnited Kingdom,"20,965",10.6,42%,48 : 52
2,Harvard UniversityUnited States,"21,887",9.6,25%,50 : 50
3,University of CambridgeUnited Kingdom,"20,185",11.3,39%,47 : 53
3,Stanford UniversityUnited States,"16,164",7.1,24%,46 : 54
5,Massachusetts Institute of TechnologyUnited States,"11,415",8.2,33%,40 : 60
6,California Institute of TechnologyUnited States,"2,237",6.2,34%,37 : 63
7,Princeton UniversityUnited States,"8,279",8,23%,46 : 54
8,"University of California, BerkeleyUnited States","40,921",18.4,24%,52 : 48
9,Yale UniversityUnited States,"13,482",5.9,21%,52 : 48
10,Imperial College LondonUnited Kingdom,"18,545",11.2,61%,40 : 60
11,Columbia UniversityUnited States,"21,781",4.5,38%,n/a
11,ETH ZurichSwitzerland,"21,665",14.8,41%,33 : 67
13,The University of ChicagoUnited States,"15,366",6,36%,47 : 53
14,University of PennsylvaniaUnited States,"21,453",6.3,23%,53 : 47
15,Johns Hopkins UniversityUnited States,"17,584",4.7,29%,53 : 47
16,Tsinghua UniversityChina,"38,324",11.6,10%,n/a
17,Peking UniversityChina,"31,994",10.3,19%,n/a
18,University of TorontoCanada,"77,468",25.8,26%,56 : 44
19,"National University of SingaporeSingapore
Explore","32,337",19.8,25%,51 : 49
20,Cornell UniversityUnited States,"24,027",10.3,26%,51 : 49
21,"University of California, Los AngelesUnited States","42,434",9.7,16%,56 : 44
22,UCLUnited Kingdom,"36,790",10.3,60%,59 : 41
23,University of Michigan-Ann ArborUnited States,"45,912",8.2,17%,50 : 50
24,New York UniversityUnited States,"36,337",9.8,42%,57 : 43
25,Duke UniversityUnited States,"16,091",4.2,24%,52 : 48
26,Northwestern UniversityUnited States,"19,175",13.2,20%,51 : 49
26,University of WashingtonUnited States,"47,727",10.8,18%,55 : 45
28,Carnegie Mellon UniversityUnited States,"14,305",12.9,47%,44 : 56
29,University of EdinburghUnited Kingdom,"32,845",11.8,47%,62 : 38
30,"Technical University of MunichGermany
Explore","33,960",40.6,36%,37 : 63
31,"University of Hong KongHong Kong
Explore","18,087",18.2,43%,54 : 46
32,"University of California, San DiegoUnited States","37,030",11.3,28%,48 : 52
33,"LMU MunichGermany
Explore","35,003",34.2,19%,61 : 39
34,University of MelbourneAustralia,"49,588",23.8,47%,58 : 42
35,King’s College LondonUnited Kingdom,"28,965",11.8,52%,63 : 37
36,"Nanyang Technological University, SingaporeSingapore
Explore","24,651",15.1,25%,48 : 52
37,London School of Economics and Political ScienceUnited Kingdom,"11,120",11.9,73%,55 : 45
38,Georgia Institute of TechnologyUnited States,"28,826",24.7,40%,33 : 67
39,The University of TokyoJapan,"26,112",10.5,15%,n/a
40,University of British ColumbiaCanada,"56,452",18.9,34%,55 : 45
41,École Polytechnique Fédérale de LausanneSwitzerland,"11,641",12.3,62%,30 : 70
42,"KU LeuvenBelgium
Explore","47,663",36.5,18%,51 : 49
43,"Universität HeidelbergGermany
Explore","19,347",13.5,21%,55 : 45
44,Monash UniversityAustralia,"58,725",42.5,41%,57 : 43
45,"The Chinese University of Hong KongHong Kong
Explore","18,468",19,21%,n/a
46,"McGill UniversityCanada
Explore","32,309",12.5,30%,60 : 40
47,Paris Sciences et Lettres – PSL Research University ParisFrance,"16,218",15,22%,51 : 49
48,University of Illinois at Urbana-ChampaignUnited States,"48,674",17.4,22%,48 : 52
49,Karolinska InstituteSweden,"8,021",9.9,27%,70 : 30
50,University of Texas at AustinUnited States,"49,171",17.4,10%,53 : 47
51,Fudan UniversityChina,"36,318",11.9,9%,52 : 48
52,Shanghai Jiao Tong UniversityChina,"37,478",11.5,8%,42 : 58
53,"The University of QueenslandAustralia
Explore","41,372",34.2,41%,55 : 45
54,"University of ManchesterUnited Kingdom
Explore","37,035",14.2,44%,55 : 45
54,The University of SydneyAustralia,"45,853",19,45%,58 : 42
56,Seoul National UniversitySouth Korea,"26,209",15.1,10%,n/a
57,Washington University in St LouisUnited States,"14,420",7.8,24%,53 : 47
58,"The Hong Kong University of Science and TechnologyHong Kong
Explore","9,864",21,32%,n/a
59,Wageningen University & ResearchNetherlands,"15,404",18.6,27%,55 : 45
60,University of AmsterdamNetherlands,"29,157",14.5,32%,59 : 41
61,Brown UniversityUnited States,"10,037",10.1,21%,n/a
62,"Australian National UniversityAustralia
Explore","16,758",14.6,51%,52 : 48
63,"University of California, DavisUnited States","37,639",13.1,18%,60 : 40
64,"University of California, Santa BarbaraUnited States","25,860",28.5,20%,54 : 46
65,University of Southern CaliforniaUnited States,"40,549",12.6,22%,49 : 51
66,Utrecht UniversityNetherlands,"32,532",17.1,13%,62 : 38
67,"Zhejiang UniversityChina
Explore","46,124",12,16%,n/a
68,Kyoto UniversityJapan,"22,269",9.2,12%,25 : 75
69,University of North Carolina at Chapel HillUnited States,"31,080",7.9,8%,59 : 41
70,Delft University of TechnologyNetherlands,"20,299",16.1,31%,31 : 69
71,Boston UniversityUnited States,"27,243",10.8,31%,59 : 41
71,"UNSW SydneyAustralia
Explore","45,133",36.3,40%,47 : 53
73,Charité - Universitätsmedizin BerlinGermany,"8,429",18,21%,64 : 36
74,"University of Science and Technology of ChinaChina
Explore","18,573",8.1,6%,n/a
75,University of GroningenNetherlands,"30,009",24.4,28%,52 : 48
76,"University of BristolUnited Kingdom
Explore","25,680",14.6,31%,56 : 44
77,"Leiden UniversityNetherlands
Explore","33,648",19.3,20%,60 : 40
78,Yonsei University (Seoul campus)South Korea,"19,481",14.7,17%,50 : 50
79,"The Hong Kong Polytechnic UniversityHong Kong
Explore","19,046",28.9,30%,51 : 49
