Rank,"Name
Country/Region",Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
1,University of OxfordUnited Kingdom,98.5,96.6,100,99,98.7,97.5
2,Stanford UniversityUnited States,98,99,97.8,99.6,100,87
3,Massachusetts Institute of TechnologyUnited States,97.9,98.6,96.2,99.7,100,93.8
4,Harvard UniversityUnited States,97.8,97.7,99.9,99.4,84.2,90.8
5,University of CambridgeUnited Kingdom,97.5,95.8,100,98,87.9,97.4
6,Princeton UniversityUnited States,96.9,96.3,97.9,98.8,95.1,89.1
7,California Institute of TechnologyUnited States,96.5,96.6,98,95.9,100,90.6
8,Imperial College LondonUnited Kingdom,95.1,90.9,95.5,98.6,90.9,98.3
9,"University of California, BerkeleyUnited States",94.6,87.2,98.8,99,99.4,86.8
10,Yale UniversityUnited States,94.2,94,94.9,97.7,86.5,82.4
11,ETH ZurichSwitzerland,93.1,87.6,96.8,95.6,82.9,95.6
12,Tsinghua UniversityChina,92.4,95.3,98.1,93.2,99.9,51.7
13,The University of ChicagoUnited States,92.1,89.6,91.2,97.6,93.8,82.3
14,Peking UniversityChina,91.8,95.6,97.3,87.2,98.8,70.2
15,Johns Hopkins UniversityUnited States,91.1,84.4,92.3,97.2,100,84.2
16,University of PennsylvaniaUnited States,91,87.7,89.7,97.6,97.7,78.8
17,Columbia UniversityUnited States,90.9,88.6,89.7,97.4,75.2,86.9
18,"University of California, Los AngelesUnited States",90.1,85.7,91.9,96.4,92.3,74.3
19,"National University of SingaporeSingapore
Explore",90,78.8,94,95.4,100,91.1
20,Cornell UniversityUnited States,89.5,85.7,88.7,97.6,69.4,86
21,University of TorontoCanada,88.6,77.5,94.1,92.8,96.1,90.7
22,UCLUnited Kingdom,88.1,78.4,86.4,98.6,75.2,97.9
23,University of Michigan-Ann ArborUnited States,87.4,84.7,87.4,95.5,80.7,69
24,Carnegie Mellon UniversityUnited States,86.3,75,84.6,98.9,87.3,85.5
25,University of WashingtonUnited States,85.3,78,83.5,98.2,77.6,73.2
26,Duke UniversityUnited States,83.9,79.3,76.1,96.2,100,74.8
27,New York UniversityUnited States,83.5,73.2,84,94.9,75.4,80.7
